ID,country,name,capacity_el,storage_capacity,zone_el,charge_bid_price,discharge_bid_price
S541DE,DE,New BESSDE541,604.1810899,978.7733657,DELU,60.95750927,95.3165707
S542DE,DE,New BESSDE542,604.1810899,978.7733657,DELU,77.17096028,111.5300217
S543DE,DE,New BESSDE543,604.1810899,978.7733657,DELU,83.28800461,117.647066
S544DE,DE,New BESSDE544,604.1810899,978.7733657,DELU,64.19864346,98.5577049
S545DE,DE,New BESSDE545,604.1810899,978.7733657,DELU,80.86807277,115.2271342
S546DE,DE,New BESSDE546,604.1810899,978.7733657,DELU,73.3752665,107.7343279
S547DE,DE,New BESSDE547,604.1810899,978.7733657,DELU,75.03651198,109.3955734
S548DE,DE,New BESSDE548,604.1810899,978.7733657,DELU,65.03200906,99.3910705
S549DE,DE,New BESSDE549,604.1810899,978.7733657,DELU,77.25099321,111.6100547
S550DE,DE,New BESSDE550,604.1810899,978.7733657,DELU,76.54421479,110.9032762
S551DE,DE,New BESSDE551,604.1810899,978.7733657,DELU,63.8913838,98.25044524
S552DE,DE,New BESSDE552,604.1810899,978.7733657,DELU,83.35080532,117.7098668
S553DE,DE,New BESSDE553,604.1810899,978.7733657,DELU,75.29575208,109.6548135
S554DE,DE,New BESSDE554,604.1810899,978.7733657,DELU,89.12872651,123.487788
S555DE,DE,New BESSDE555,604.1810899,978.7733657,DELU,83.19517983,117.5542413
S556DE,DE,New BESSDE556,604.1810899,978.7733657,DELU,83.76643509,118.1254965
S557DE,DE,New BESSDE557,604.1810899,978.7733657,DELU,67.7431192,102.1021806
S558DE,DE,New BESSDE558,604.1810899,978.7733657,DELU,65.39987849,99.75893993
S559DE,DE,New BESSDE559,604.1810899,978.7733657,DELU,65.09474544,99.45380688
S560DE,DE,New BESSDE560,604.1810899,978.7733657,DELU,69.34682765,103.7058891
S561DE,DE,New BESSDE561,604.1810899,978.7733657,DELU,82.23440963,116.5934711
S562DE,DE,New BESSDE562,604.1810899,978.7733657,DELU,85.54822567,119.9072871
